year,sample,island,pool,magna,longispina,pulex,poolname
1983,2,F,11,0,0,0,F-11
1984,1,F,11,0,0,0,F-11
1984,2,F,11,0,1,0,F-11
1985,1,F,11,0,0,0,F-11
1985,2,F,11,0,0,0,F-11
1986,1,F,11,0,0,0,F-11
1986,2,F,11,0,0,0,F-11
1987,1,F,11,0,0,0,F-11
1987,2,F,11,0,0,0,F-11
1988,1,F,11,0,0,0,F-11
1988,2,F,11,0,0,0,F-11
1989,1,F,11,0,0,0,F-11
1989,2,F,11,0,0,0,F-11
1990,1,F,11,0,0,0,F-11
1990,2,F,11,0,0,0,F-11
1991,1,F,11,0,0,0,F-11
1991,2,F,11,0,0,0,F-11
1992,1,F,11,0,0,0,F-11
1992,2,F,11,0,0,0,F-11
1993,1,F,11,NA,NA,NA,F-11
1993,2,F,11,0,0,0,F-11
1994,1,F,11,0,0,0,F-11
1994,2,F,11,0,0,0,F-11
1995,1,F,11,0,0,0,F-11
1995,2,F,11,0,0,0,F-11
1996,1,F,11,0,0,0,F-11
1996,2,F,11,0,0,0,F-11
1997,1,F,11,0,0,0,F-11
1997,2,F,11,0,0,0,F-11
1998,1,F,11,0,0,0,F-11
1998,2,F,11,0,0,0,F-11
1999,1,F,11,0,0,0,F-11
1999,2,F,11,0,0,0,F-11
2000,1,F,11,0,0,0,F-11
2000,2,F,11,0,0,0,F-11
2001,1,F,11,0,0,0,F-11
2001,2,F,11,0,0,0,F-11
2002,1,F,11,0,0,0,F-11
2002,2,F,11,0,0,0,F-11
2003,1,F,11,0,0,0,F-11
2003,2,F,11,0,0,0,F-11
2004,1,F,11,0,0,0,F-11
2004,2,F,11,0,0,0,F-11
2005,1,F,11,0,0,0,F-11
2005,2,F,11,0,0,0,F-11
2006,1,F,11,0,0,0,F-11
2006,2,F,11,0,0,0,F-11
2007,1,F,11,0,0,0,F-11
2007,2,F,11,0,0,0,F-11
2008,1,F,11,0,0,0,F-11
2008,2,F,11,0,0,0,F-11
1982,1,F,12,NA,NA,NA,F-12
1982,2,F,12,0,0,0,F-12
1983,1,F,12,0,0,0,F-12
1983,2,F,12,0,0,0,F-12
1984,1,F,12,0,1,0,F-12
1984,2,F,12,0,0,0,F-12
1985,1,F,12,0,0,0,F-12
1985,2,F,12,0,0,0,F-12
1986,1,F,12,0,0,0,F-12
1986,2,F,12,0,0,0,F-12
1987,1,F,12,0,0,0,F-12
1987,2,F,12,0,0,0,F-12
1988,1,F,12,0,0,0,F-12
1988,2,F,12,0,0,0,F-12
1989,1,F,12,0,0,0,F-12
1989,2,F,12,0,0,0,F-12
1990,1,F,12,0,0,0,F-12
1990,2,F,12,0,0,0,F-12
1991,1,F,12,0,0,0,F-12
1991,2,F,12,0,0,0,F-12
1992,1,F,12,0,0,0,F-12
1992,2,F,12,0,0,0,F-12
1993,1,F,12,NA,NA,NA,F-12
1993,2,F,12,0,0,0,F-12
1994,1,F,12,0,0,0,F-12
1994,2,F,12,0,0,0,F-12
1995,1,F,12,0,0,0,F-12
1995,2,F,12,0,0,0,F-12
1996,1,F,12,0,0,0,F-12
1996,2,F,12,0,0,0,F-12
1997,1,F,12,0,0,0,F-12
1997,2,F,12,0,0,0,F-12
1998,1,F,12,0,0,0,F-12
1998,2,F,12,0,0,0,F-12
1999,1,F,12,0,0,0,F-12
1999,2,F,12,0,0,0,F-12
2000,1,F,12,0,0,0,F-12
2000,2,F,12,0,0,0,F-12
2001,1,F,12,0,0,0,F-12
2001,2,F,12,0,0,0,F-12
2002,1,F,12,0,0,0,F-12
2002,2,F,12,0,0,0,F-12
2003,1,F,12,0,0,0,F-12
2003,2,F,12,0,0,0,F-12
2004,1,F,12,0,0,0,F-12
2004,2,F,12,0,0,0,F-12
2005,1,F,12,0,0,0,F-12
2005,2,F,12,0,0,0,F-12
2006,1,F,12,0,0,0,F-12
2006,2,F,12,0,0,0,F-12
2007,1,F,12,0,0,0,F-12
2007,2,F,12,0,0,0,F-12
2008,1,F,12,0,0,0,F-12
2008,2,F,12,0,0,0,F-12
1982,1,FO,1,NA,NA,NA,FO-1
1982,2,FO,1,0,0,0,FO-1
1983,1,FO,1,0,0,0,FO-1
1983,2,FO,1,0,0,0,FO-1
1984,1,FO,1,0,0,0,FO-1
1984,2,FO,1,0,0,0,FO-1
1985,1,FO,1,0,0,0,FO-1
1985,2,FO,1,0,0,0,FO-1
1986,1,FO,1,0,0,0,FO-1
1986,2,FO,1,0,0,0,FO-1
1987,1,FO,1,0,0,0,FO-1
1987,2,FO,1,0,0,0,FO-1
1988,1,FO,1,0,0,0,FO-1
